,logEvent,labels
177,"Booking recording failed for Schätze des Südwestens
java.lang.Throwable: EQuotaExceeded: Recording quota of customer '' exceeded
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
178,onFailure() invalid_grant:  [invalid_token],49
179,onError(): com.android.volley.VolleyError: java.lang.NullPointerException: Attempt to invoke virtual method 'java.lang.String de.tara_systems.quickline_uhd_tvinput.tv_provider_adapter.Channel.getSeaChangeId()' on a null object reference,14
180,onError(): com.android.volley.NetworkError,49
181,"onError(): EInvalidParameter: Invalid parameter 'RollingBufferInitialStartDateTime', value '---T::Z'",49
182,"onError(): EInvalidEventId: Invalid parameter 'EventId', value ''",49
183,log(): [SingleSignOn] Error: java.lang.Throwable: java.net.NoRouteToHostException: No route to host,19
184,"loadTraxisProfiles(): EInvalidSTBId: Invalid parameter 'StbId', value 'BBFFFFFF'",49
185,loadSubscriberToken(): javax.net.ssl.SSLHandshakeException: Handshake failed,46
186,loadSubscriberProfiles(): Error receiving ssoProfiles(),49
187,"loadChannelsOttPaged(): com.android.volley.NoConnectionError: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Software caused connection abort",46
188,"java.net.BindException: Address already in use
	at java.net.PlainDatagramSocketImpl.bind(Native Method)
	at java.net.AbstractPlainDatagramSocketImpl.bind(AbstractPlainDatagramSocketImpl.java:)
	at java.net.DatagramSocket.bind(DatagramSocket.java:)
	at java.net.DatagramSocket.<init>(DatagramSocket.java:)
	at java.net.DatagramSocket.<init>(DatagramSocket.java:)
	at de.tara_systems.quickline_uhd_dvbserver.DvbServerLogReceiver$DvbServerLogReceiverRunnable.run(DvbServerLogReceiver.java:)
	at java.lang.Thread.run(Thread.java:)
",49
189,deleteRecordings(filter): Failed to create request.,49
190,de.tara_systems.quickline.qluhdutils.api.Failure: invalid_grant:  [invalid_token],49
191,"de.tara_systems.quickline.qluhdutils.api.Failure: de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.NoConnectionError: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Software caused connection abort
	at de.tara_systems.quickline.traxisclient.impl.channel.ChannelsLoader$ChannelsLoaderHandlerThread$.handleMessage(ChannelsLoader.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.NoConnectionError: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Software caused connection abort
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	...  more
Caused by: com.android.volley.NoConnectionError: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Software caused connection abort
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
Caused by: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Software caused connection abort
	at com.android.org.conscrypt.NativeCrypto.SSL_read(Native Method)
	at com.android.org.conscrypt.OpenSSLSocketImpl$SSLInputStream.read(OpenSSLSocketImpl.java:)
	at com.android.okhttp.okio.Okio$.read(Okio.java:)
	at com.android.okhttp.okio.AsyncTimeout$.read(AsyncTimeout.java:)
	at com.android.okhttp.okio.RealBufferedSource.indexOf(RealBufferedSource.java:)
	at com.android.okhttp.okio.RealBufferedSource.indexOf(RealBufferedSource.java:)
	at com.android.okhttp.okio.RealBufferedSource.readUtfLineStrict(RealBufferedSource.java:)
	at com.android.okhttp.internal.http.HttpConnection.readResponse(HttpConnection.java:)
	at com.android.okhttp.internal.http.HttpTransport.readResponseHeaders(HttpTransport.java:)
	at com.android.okhttp.internal.http.HttpEngine.readNetworkResponse(HttpEngine.java:)
	at com.android.okhttp.internal.http.HttpEngine.readResponse(HttpEngine.java:)
	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.execute(HttpURLConnectionImpl.java:)
	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getResponse(HttpURLConnectionImpl.java:)
	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getResponseCode(HttpURLConnectionImpl.java:)
	at com.android.okhttp.internal.huc.DelegatingHttpsURLConnection.getResponseCode(DelegatingHttpsURLConnection.java:)
	at com.android.okhttp.internal.huc.HttpsURLConnectionImpl.getResponseCode(HttpsURLConnectionImpl.java)
	at com.google.firebase.perf.network.zze.getResponseCode(Unknown Source)
	at com.google.firebase.perf.network.zzd.getResponseCode(Unknown Source)
	at com.android.volley.toolbox.HurlStack.executeRequest(HurlStack.java:)
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	...  more
",50
192,"[TtxServer           ] InarisTtxsMwExtensionInit(): failed
",49
193,"Failed to load Channels trying to tune to the first available channel. Error: getChannel(): not found for id=
de.tara_systems.quickline.qluhdutils.api.Failure: getChannel(): not found for id=
	at de.tara_systems.quickline.tangoclient.impl.channel.ChannelManagerImpl.getChannel(ChannelManagerImpl.java:)
	at com.android.tv.MainActivity.onChannelsLoaded(MainActivity.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at org.greenrobot.eventbus.EventBus.invokeSubscriber(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postToSubscription(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEventForEventType(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEvent(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.post(EventBus.java:)
	at com.android.tv.ChannelTuner.setChannelsLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onChannelListChanged(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onProfileLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.notifyCallbacks(Future.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.addCallback(Future.java:)
	at com.android.tv.ChannelTuner.loadCurrentProfileAsync(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$$.run(ChannelTuner.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.app.ActivityThread.main(ActivityThread.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:)
",36
194,"Booking recording failed for Olympische Winterspiele Pyeongchang 
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
195,"Booking recording failed for Olympische Winterspiele Pyeongchang 
de.tara_systems.quickline.qluhdutils.api.Failure: EInvalidEventId: Invalid parameter 'EventId', value ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
196,"Booking recording failed for Mediashop
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
197,"Booking recording failed for Der Darß – Küste der Kraniche
java.lang.Throwable: EQuotaExceeded: Recording quota of customer '' exceeded
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
198,onPlayerError(): sourceException=com.google.android.exoplayer.source.hls.playlist.HlsPlaylistTracker$PlaylistStuckException msg=null,41
199,"onPlayerError(): sourceException=com.google.android.exoplayer.ParserException: Couldn't match NAME=""(.+?)"" in #EXT-X-MEDIA:TYPE=AUDIO,GROUP-ID=""MPEG- AAC -  kbps -  kHz - "",NAME="""",DEFAULT=YES,DEFAULT=YES msg=null",41
200,onFailure() invalid_request:  [Ein Fehler ist aufgetreten],49
201,onFailure() com.android.volley.NoConnectionError: java.net.ConnectException: Network is unreachable,28
202,onError(): invalid_request:  [Ein Fehler ist aufgetreten],49
203,"onError(): com.android.volley.NoConnectionError: javax.net.ssl.SSLProtocolException: Read error: ssl: Failure in SSL library, usually a protocol error
error::SSL routines:OPENSSL_internal:SSLV_ALERT_HANDSHAKE_FAILURE (external/boringssl/src/ssl/s_pkt.c: xcfe:x)
error:a:SSL routines:OPENSSL_internal:HANDSHAKE_FAILURE_ON_CLIENT_HELLO (external/boringssl/src/ssl/s_clnt.c: xaa:x)
error:d:SSL routines:OPENSSL_internal:SSL_HANDSHAKE_FAILURE (external/boringssl/src/ssl/s_pkt.c: xaa:x)",49
204,"onError(): com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""login-api.quickline.ch"": No address associated with hostname",11
205,"onError(): Error:  [one or more of the properties are not valid. Check  property errors dictionary for Details. Fields with Error: Username - Falsches Format. Der Benutzername darf nur Kleinbuchstaben, Zahlen, ""."", ""-"" u. ""\"" enthalten. Errors, Nickname - Falsches Format. Der Nickname darf nur Klein-, Grossbuchstaben, Zahlen und ""-"" enthalten. Errors]",49
206,onError(): Error:  [one or more of the properties are not valid. Check  property errors dictionary for Details. Fields with Error:  - Ungültiges Mobile-Nummerformat Errors],49
207,onError(): ERestServiceResourceNotFound: No resource found of type 'Recording' with id '',49
208,log(): [SingleSignOn] Error: java.lang.Throwable: javax.net.ssl.SSLHandshakeException: Handshake failed,46
209,"log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.net.UnknownHostException: Unable to resolve host ""login-api.stage.quickline.ch"": No address associated with hostname",49
210,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.net.ConnectException: Network is unreachable,28
211,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: [invalid_grant] Falscher PIN. Bitte versuchen Sie es erneut.,49
212,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure,49
213,loadSubscriberToken(): java.lang.Throwable: javax.net.ssl.SSLHandshakeException: Handshake failed,46
214,loadProfileManagementToken(): null,49
215,loadCustomer(): de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.TimeoutError,49
216,loadChannelsOttPaged(): null,23
217,loadChannelsOttPaged(): com.android.volley.TimeoutError,35
218,loadChannelsOttPaged(): com.android.volley.NoConnectionError: java.net.ConnectException: Network is unreachable,28
219,loadChannelLocations(): java.lang.Throwable: Request timeout,49
220,java.net.ConnectException: Network is unreachable,28
221,de.tara_systems.quickline.qluhdutils.api.Failure: invalid_request:  [Ein Fehler ist aufgetreten],49
222,de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.NoConnectionError: java.net.ConnectException: Network is unreachable,28
223,"de.tara_systems.quickline.qluhdutils.api.Failure: Failed to set homing channel at the backend.
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.createFailure(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.tuneHomingChannels(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread.access$(ServiceAreaDiscovery.java:)
	at de.tara_systems.quickline_uhd_tvinput.service_area_discovery.ServiceAreaDiscovery$ServiceAreaDiscoveryHandlerThread$.handleMessage(ServiceAreaDiscovery.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",27
224,"de.tara_systems.quickline.qluhdutils.api.Failure
	at de.tara_systems.quickline.qluhdutils.api.SyncedFuture.awaitCountDownLatch(SyncedFuture.java:)
	at de.tara_systems.quickline.qluhdutils.api.SyncedFuture.awaitSeconds(SyncedFuture.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelManager.manageTraxisChannels(ChannelManager.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelManager.manageChannels(ChannelManager.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelProgramUpdater.manageChannels(ChannelProgramUpdater.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelProgramUpdater.update(ChannelProgramUpdater.java:)
	at de.tara_systems.quickline_uhd_tvinput.traxis_content_manager.ChannelProgramUpdaterThread$ChannelProgramUpdaterRunnable.run(ChannelProgramUpdaterThread.java:)
	at java.lang.Thread.run(Thread.java:)
",50
225,"[Osal.Socket         ] InarisOsalSocketOsBind error: 

",49
226,"[Osal.Memory         ] The given item was already freed
",49
227,"[Osal.Memory         ] Cannot free memory block. Freed twice? Freed: ../../../Source/InarisTIpcDispatcher.c(Line )
",49
228,"[MwIpcServer.SmServic] IpcReplyFromComponentList(): error
",49
229,"[MwIpcServer         ] InarisIpcServerStart() failed
",49
230,"[Ipc.Server          ] Failed to bind server socket  to InarisMwIpc
",49
231,Failed to applyBatch data. Transaction failed on small parcel; remote process probably died,49
232,ENotAuthorized: Customer '' is not authorized to view channel '' [||||||||||||||||||||],17
233,ENotAuthorized: Customer '' is not authorized to view channel '' [||||||||],17
234,"E  ::, [Hal.Tuner           ] Can not find tuner
",34
235,"E  ::, [Hal                 ] Cannot open BroadcomTuner 
",49
236,"Booking recording failed for Westpol
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
237,"Booking recording failed for Verrückt nach Meer
java.lang.Throwable: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
238,"Booking recording failed for The Transporter Refueled
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
239,"Booking recording failed for Tatort
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
240,"Booking recording failed for Suits
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
241,"Booking recording failed for Sturm der Liebe
java.lang.Throwable: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
242,"Booking recording failed for Steve Jobs
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
